name,symbol,current_price,total_volume,market_cap
DOG•GO•TO•THE•MOON (Runes),dog,0.00520529,24286321,517343353
TrueUSD,tusd,0.998527,27206264,495310678
1inch,1inch,0.387046,33513874,483803003
Kava,kava,0.443313,7155053,480072839
XDC Network,xdc,0.03168734,5514834,472173823
Theta Fuel,tfuel,0.070553,6117621,464751883
AIOZ Network,aioz,0.425565,3898694,464411640
Nervos Network,ckb,0.01021928,20720730,452684694
Rocket Pool,rpl,22.11,9815959,451530423
Bitcoin Gold,btg,25.29,14304797,441012289
APENFT,nft,4.36573e-07,20009737,432367848
Stader ETHx,ethx,3408.72,868631,430297177
PAX Gold,paxg,2309.43,7422912,429443780
ConstitutionDAO,people,0.083089,249811385,419118274
Arkham,arkm,1.79,74163801,413907281
Curve DAO,crv,0.329433,181306099,411818574
Terra Luna Classic,lunc,7.476e-05,44411836,410722253
Illuvium,ilv,62.04,8696058,409327716
USDB,usdb,0.996411,127376305,404153103
PayPal USD,pyusd,0.999073,6277781,403963216
Blur,blur,0.237803,28652381,403655401
Trust Wallet,twt,0.964509,16301429,401849711
Aevo,aevo,0.474769,81632605,398352134
Axelar,axl,0.558535,19059070,391508610
Memecoin,meme,0.01889787,41031350,388087265
Ocean Protocol,ocean,0.598395,56255926,386765990
WOO,woo,0.202061,12502781,385456253
CorgiAI,corgiai,0.00111201,255929,380424998
Mog Coin,mog,1.05e-06,32217316,377339544
Echelon Prime,prime,9.05,8564014,372842058
Astar,astr,0.065206,21296114,371328501
Raydium,ray,1.41,11403956,369229319
IoTeX,iotx,0.03889083,20329782,367109718
MX,mx,3.7,32583218,363857947
Ether.fi,ethfi,3.14,128716194,362080456
dYdX,ethdydx,1.35,30022066,361209709
WEMIX,wemix,0.983551,2290026,358858738
cETH,ceth,66.62,467.67,355275617
Aerodrome Finance,aero,0.699718,123977793,354613704
Turbo,turbo,0.00511473,106332443,351454807
Osmosis,osmo,0.524403,11090291,350620097
Golem,glm,0.349087,12916104,349128234
SATS (Ordinals),sats,1.64666e-07,34123569,345300909
Kusama,ksm,22.55,14867149,340803304
SafePal,sfp,0.732588,5702363,338563617
Aragon,ant,8.38,4747761,335733346
PepeCoin,pepecoin,2.84,2525936,334754792
GMT,gmt,0.156477,29394884,330605122
MAGA,trump,6.98,8643874,324505343
Compound,comp,47.12,40671921,322712238
cat in a dogs world,mew,0.00359682,46887100,319186255
Polymesh,polyx,0.29968,26007821,318296604
Manta Network,manta,0.955385,37482559,310603967
io.net,io,3.27,150002414,310195919
Zilliqa,zil,0.01663227,13542656,309413937
Holo,hot,0.00172337,9473874,306056737
Celo,celo,0.564936,17907718,304541744
cWBTC,cwbtc,1226.34,0.0,304339503
Radix,xrd,0.02874595,1554431,301481381
MMX,mmx,2.1,161592,300263582
Ankr Network,ankr,0.02936714,8102365,293215338
Zcash,zec,19.37,21780713,292948507
0x Protocol,zrx,0.344702,11303806,292232854
Biconomy,bico,0.359032,8591536,290242901
Liquid Staked ETH,lseth,3447.51,84152,287588741
SuperVerse,super,0.633788,13255399,286052829
Nexus Mutual,nxm,73.72,0.0,279978733
Jito,jto,2.25,58485895,276704971
Enjin Coin,enj,0.187934,28383343,276513743
Dymension,dym,1.54,16962635,275024393
Terra,luna,0.399537,21186194,274570197
Basic Attention,bat,0.183504,40578598,273940929
AltLayer,alt,0.178325,38359826,270652326
Reserve Rights,rsr,0.005329,21013916,269245125
Arcblock,abt,2.7,1685967,267690177
JUST,jst,0.02700026,22382612,266884537
Aethir,ath,0.071056,55858126,266308912
Dash,dash,22.38,25794080,265334488
Amp,amp,0.00470011,32131403,263681411
Ravencoin,rvn,0.01871049,15009986,262142977
GMX,gmx,27.35,33860010,260782912
SSV Network,ssv,36.75,27752901,259891223
Metis,metis,45.74,14564410,259788006
Galxe,gal,2.24,18479155,257561141
Frax Share,fxs,3.21,14597462,256971405
Qtum,qtum,2.44,14417482,256902489
SKALE,skl,0.04971178,22886469,256744123
aelf,elf,0.349945,18926670,254552325
Coin98,c98,0.1752,7448278,253724169
OriginTrail,trac,0.618975,1365054,251044940
Popcat,popcat,0.256496,17005254,250660799
Convex Finance,cvx,3.01,27322204,247040711
Casper Network,cspr,0.02034723,6383679,246228223
Wrapped Beacon ETH,wbeth,3449.42,13337239,245043808
Venom,venom,0.146775,2254973,243636811
Decred,dcr,15.02,2993017,242802936
Siacoin,sc,0.00422164,2530286,242448905
Tellor Tributes,trb,93.81,108839516,242293933
EthereumPoW,ethw,2.25,4664187,242076991
Chia,xch,22.75,16795508,241293623
Beldex,bdx,0.03710089,871999,239238731
API3,api3,2.07,11609416,238822009
Mask Network,mask,2.38,37708432,238014459
Centrifuge,cfg,0.463367,644934,229826864
Mythos,myth,0.339557,88841,226335155
Blox,cdt,0.333589,264454,224976693
Gas,gas,3.46,5379798,224882425
Bitcoin Avalanche Bridged (BTC.b),btc.b,60938,11345670,218380408
ZetaChain,zeta,0.795325,21727910,217447222
Tribe,tribe,0.475599,50369,216563135
Threshold Network,t,0.02192066,9170805,212838320
Yield Guild Games,ygg,0.562541,69016291,210547285
Loopring,lrc,0.168613,13578105,210043123
Baby Doge Coin,babydoge,1.387e-09,6292878,209906521
Flux,flux,0.595275,14383567,207455334
NetMind Token,nmt,5.55,5304472,205437002
Metaplex,mplx,0.383494,2381835,205220304
Pixels,pixel,0.263685,31383086,203086044
OKT Chain,okt,11.16,611874,200125575
Non-Playable Coin,npc,0.02478898,6004965,199252314
Osaka Protocol,osak,2.61121e-07,83360,198435833
Olympus,ohm,12.14,375979,197982790
UMA,uma,2.43,18264770,197779051
Delysium,agi,0.225069,40448627,196513559
tBTC,tbtc,60922,1777395,195349393
PAAL AI,paal,0.227769,4297733,193901667
Aleph Zero,azero,0.601589,1268545,192667545
yearn.finance,yfi,5743.9,21632367,191320767
Escoin,elg,1.038,786106,191103980
Vanar Chain,vanry,0.135833,12471285,190702067
BENQI Liquid Staked AVAX,savax,28.0,4032278,187110863
Decentralized Social,deso,17.69,9660104,186607792
Ampleforth,ampl,0.920443,1254643,185714109
Nosana,nos,2.19,1859749,183874996
Telcoin,tel,0.00238159,953838,183802489
Ontology,ont,0.202708,8385202,183527994
SPACE ID,id,0.426883,16378834,183310008
VeThor,vtho,0.0023553,2167805,182269372
0x0.ai: AI Smart Contract,0x0,0.202361,638802,181166149
Harmony,one,0.0145705,5044790,179201014
CoinEx,cet,0.061592,88160,177357032
Audius,audio,0.143544,15145991,176691479
Rollbit Coin,rlb,0.068458,665683,176399273
Ondo US Dollar Yield,usdy,1.038,119399,174354719
RSS3,rss3,0.25705,3294249,173248602
Goldfinch,gfi,2.27,2726987,172342530
Chromia,chr,0.211597,12274421,171905610
SwissBorg,borg,0.171232,1287280,169075862
Balancer,bal,2.94,7224400,168982463
Moonbeam,glmr,0.191029,5435150,168277486
MimbleWimbleCoin,mwc,15.3,18188.68,167541954
FINSCHIA,fnsa,21.03,542268,166910652
Wrapped Centrifuge,wcfg,0.461822,273726,166633485
Universal ETH,unieth,3519.22,106487,165755316
ANDY ETH,andy,0.00016246,7906227,162037642
Alchemix USD,alusd,0.966664,23685,161383355
Neutron,ntrn,0.438413,5177053,158031336
AMATERASU OMIKAMI,omikami,0.156774,9266913,156662716
Kendu Inu,kendu,0.00015655,2674513,155621045
Kadena,kda,0.553815,5358797,154274933
Creditcoin,ctc,0.446801,10735819,154056581
Band Protocol,band,1.069,12973921,153433534
H2O Dao,h2o,0.189465,1454954,152931522
Sushi,sushi,0.78424,20293540,151039978
World Mobile Token,wmt,0.254481,1559719,150087375
LCX,lcx,0.192279,772438,148764058
BounceBit,bb,0.362647,64589451,148588320
ICON,icx,0.147118,1672865,148489858
Magic,magic,0.561676,23052850,147983020
LandWolf,wolf,0.0147306,15426555,147298421
Open Campus,edu,0.565383,4062163,147012562
iExec RLC,rlc,2.02,5600915,146161083
TrueFi,tru,0.128195,34656769,145789325
Solar,sxp,0.241837,6300483,145191575
Marlin,pond,0.01782154,13732788,143453483
Oraichain,orai,8.83,2878657,142750774
Lisk,lsk,0.982753,4012963,142382035
COTI,coti,0.090568,5984268,142200605
ECOMI,omi,0.00051525,508628,141585709
Prom,prom,7.74,1980373,141235273
Lista DAO,lista,0.610928,138551730,140853791
inSure DeFi,sure,0.00531872,284426,140733940
Omni Network,omni,13.45,33751973,139786257
Pax Dollar,usdp,1.001,5610008,136551770
Songbird,sgb,0.00917414,601190,136432459
Ontology Gas,ong,0.355115,32964873,136405403
PONKE,ponke,0.271758,14536500,135180344
MCOIN,mcoin,0.763317,1309357,134959076
STASIS EURO,eurs,1.072,781671,133102054
Saga,saga,1.38,36865088,132151150
Dusk,dusk,0.283737,15969069,131435119
DigiByte,dgb,0.00769281,5456821,131264818
LimeWire,lmwr,0.453272,10805822,131221307
BitMart,bmx,0.385989,878413,131051557
Kujira,kuji,1.07,477993,130608019
Cartesi,ctsi,0.158887,4054472,130250416
DAO Maker,dao,0.519309,1272068,130238847
WAX,waxp,0.03755367,3271065,129649352
Myro,$myro,0.129135,21579140,128918956
Metars Genesis,mrs,1.53,103498,128518790
VVS Finance,vvs,2.79e-06,379890,128011098
Xai,xai,0.462076,27090642,127917047
Bitkub Coin,kub,1.42,806228,127907637
Gomining Token,gomining,0.303651,5133326,127291601
Numeraire,nmr,18.07,4838857,123532731
ApeX,apex,2.6,80950110,122829344
Smooth Love Potion,slp,0.00296738,9228877,122704997
crvUSD,crvusd,0.998836,23285809,122298057
NEM,xem,0.01350448,23660155,121572775
Gemini Dollar,gusd,1.001,979783,121122464
Zentry,zent,0.02195635,19442108,120293792
Energy Web,ewt,2.32,1406805,119874054
Bone ShibaSwap,bone,0.478435,3709684,119864015
Cream,cream,71.49,6768990,118994183
Nano,xno,0.887873,2078638,117804266
IOST,iost,0.00628353,7518674,117555845
CHEX Token,chex,0.118097,362116,117453662
Milady Meme Coin,ladys,1.31492e-07,10718926,116502342
TokenFi,token,0.077216,8145936,115078528
Origin Ether,oeth,3316.74,2065816,114136093
Sun Token,sun,0.0115911,19994747,113880390
CYBER,cyber,4.89,21261757,113740309
Alephium,alph,1.4,1288310,113541989
Slerf,slerf,0.227541,40880852,113299858
Big Time,bigtime,0.116796,15253293,113157346
Instadapp,inst,1.37,69170,112944225
Everscale,ever,0.056936,219065,112289191
Banana Gun,banana,46.8,3048173,112286522
Zignaly,zig,0.078677,2750523,111968467
Taiko,taiko,1.78,36970179,111842446
IX Swap,ixs,0.632457,675139,111208243
Fusionist,ace,3.29,15772217,110869453
Renzo,rez,0.096372,42932878,110541348
Nym,nym,0.139306,1436522,110395051
Covalent,cqt,0.136236,1187247,109856575
MAGA Hat,maga,0.00026721,70241428,109685606
Synapse,syn,0.497071,4250456,109109422
Alchemy Pay,ach,0.02207451,12149709,108934636
Polygon Ecosystem Token,pol,0.549635,720858,108931577
Degen (Base),degen,0.00870738,23883952,108500902
Pocket Network,pokt,0.064579,896213,108317235
Stride,strd,1.19,56006,108292183
Dora Factory,dora,0.107487,1945289,107546754
Apu Apustaja,apu,0.00033425,12790089,106868831
Ozone Chain,ozo,0.217409,519717,106604882
Powerledger,powr,0.20278,8878760,106283211
JOE,joe,0.310425,7377011,105903392
IQ,iq,0.00581142,3860142,105812041
Tokenlon,lon,0.927188,864033,105543690
Bazaars,bzr,9.04,440206,105515412
SmarDex,sdex,0.01247562,627561,105334494
DOLA,dola,0.995201,1085358,104812407
Kinesis Silver,kag,29.87,148754,104668933
Wilder World,wild,0.368861,504584,103982819
BORA,bora,0.097888,127710,103948473
Hivemapper,honey,0.057363,347182,103772708
Across Protocol,acx,0.29334,431891,103694879
Seedify.fund,sfund,1.62,6294291,102997146
Shentu,ctk,0.758672,5601373,102714520
Hive,hive,0.237521,29188670,102680474
Kinesis Gold,kau,74.87,404500,102534779
Bounce,auction,15.7,26393151,101860410
My Neighbor Alice,alice,1.091,18523378,100575612
Paycoin,pci,0.098809,867415,100060648
AirTor Protocol,ator,1.36,527970,99869977
Status,snt,0.02497552,3744789,98954884
Moonriver,movr,10.81,5462232,97269713
Bluzelle,blz,0.225443,7599614,97061245
TerraClassicUSD,ustc,0.01684919,7734589,96836526
Helium Mobile,mobile,0.00104589,1467941,96396043
Spell,spell,0.00066308,5732219,96324740
Maple,mpl,12.29,1396576,96287645
Coq Inu,coq,1.38e-06,2734102,95617118
Toshi,toshi,0.00022773,1807160,95560216
Wexo,wexo,1.83,16180.37,95146742
Orbs,orbs,0.0218199,3428666,94994398
MiL.k Alliance,mlk,0.261038,4578695,94691734
Synternet,noia,0.118461,898328,94627377
Horizen,zen,6.23,3545064,94247230
Syscoin,sys,0.120512,2666519,93950582
Venus,xvs,5.87,11410398,93599224
BTSE Token,btse,0.576855,3985.84,93490667
Gains Network,gns,2.73,2964302,92551566
Metal DAO,mtl,1.41,141428767,92354406
USDX,usdx,0.82423,298940,92291793
Pundi X,pundix,0.356618,3008686,92104347
RSK Infrastructure Framework,rif,0.092136,2000984,92073392
Kyber Network Crystal,knc,0.540769,17280297,91885579
XYO Network,xyo,0.00659369,2055937,91789163
Boba Network,boba,0.240326,2408364,91657455
HarryPotterObamaSonic10Inu (ETH),bitcoin,0.090858,1679451,90819732
NKYC Token,nkyc,22.71,275190,90798748
Orca,orca,1.77,846631,90668279
WUFFI,wuf,9.02172e-07,8456310,90182223
Oasys,oas,0.04849408,1030875,90100623
Pirate Nation Token,pirate,0.187043,5922044,89815096
Stader MaticX,maticx,0.614683,1355675,89557941
Waves,waves,0.897094,15232624,89541533
Unizen,zcx,0.128549,8095599,89288587
Resistance Dog,redo,0.892042,3044960,89184869
GHO,gho,1.0,1007221,89019177
Sleepless AI,ai,0.684256,27624252,88928774
Hooked Protocol,hook,0.550779,5185384,88876701
MVL,mvl,0.00355139,6064976,88741026
Redacted,btrfly,286.47,1098897,88610007
Dent,dent,0.00092305,2972974,88249430
Celer Network,celr,0.01557835,3443291,87852005
Purr,purr,0.118672,7253473,87627119
Constellation,dag,0.02868385,2884569,87350280
Steem,steem,0.18724,1865517,86981052
Phoenix,phb,1.74,10364362,86601115
Vulcan Forged,pyr,3.58,4534467,85602255
Ultima,ultima,2963.34,2247723,85329664
Maya Protocol,cacao,0.852877,1061486,85287671
Stratis,strax,0.04408677,3716169,85264868
Cudos,cudos,0.01199591,536600,85159163
Tenset,10set,0.506056,573217,84804616
Daddy Tate,daddy,0.141263,22561016,84661833
ARK,ark,0.463796,12844212,84635666
Liquity USD,lusd,0.998245,961064,84449074
PHALA,pha,0.115189,5689035,84192009
WINkLink,win,8.469e-05,4065261,84120578
Solidus Ai Tech,aitech,0.127794,9299196,82704453
Telos,tlos,0.196477,9443434,82565288
Function X,fx,0.112199,285279,82168921
BakerySwap,bake,0.281977,125485078,81530832
Civic,cvc,0.101578,8762673,81404628
Bitcoin Wizards,wzrd,3.87,245137,81051892
Request,req,0.105192,3245354,80914833
Hashflow,hft,0.197575,4927966,80786745
Dogelon Mars,elon,1.4708e-07,2628763,80777396
Propy,pro,1.39,3917764,80599895
HashAI,hashai,0.00090048,203017,80522249
DODO,dodo,0.122569,10526699,80167509
Huobi,ht,0.501025,317359,79884589
ChainGPT,cgpt,0.160232,3342288,79797197
Bancor Network,bnt,0.600408,4413360,79745160
Verus Coin,vrsc,1.15,7246.91,79704390
Pangolin,png,0.363662,1034755,79486586
Secret,scrt,0.292034,2327110,79140074
dKargo,dka,0.01878275,113985,78997270
Liquity,lqty,0.818939,10393598,78678284
VaultCraft,vcx,0.090772,132458,77902443
Marblex,mbx,0.611414,1448414,77518512
Stargate Finance,stg,0.379049,24370185,77103607
Velo,velo,0.01043238,16555180,76861028
Portal,portal,0.457221,19305331,76348666
Adventure Gold,agld,0.986882,11266052,76129360
Shadow Token,shdw,0.464519,1476272,75364672
Ribbon Finance,rbn,0.473483,1971373,75254423
Maverick Protocol,mav,0.299907,13463173,75167470
STP,stpt,0.03863293,1722746,75069096
Clearpool,cpool,0.124268,832842,74942920
SLG.GAMES,slg,0.150269,54313,73901426
Pundi X [OLD],npxs,0.00031116,1025.32,73537696
LandWolf,wolf,8.139e-05,2079571,73491476
LUKSO,lyx,2.41,260299,73017492
Karrat,karrat,0.711839,4843287,72484213
Forta,fort,0.166579,499746,71999740
Drift Protocol,drift,0.413758,16581133,71887670
Krypton DAO,krd,0.699274,6584.64,71665008
Frontier,front,0.817923,15996474,71601116
Myria,myria,0.00365561,1138049,71410515
Moonwell,well,0.02882579,641271,71162226
BUSD,busd,0.999354,1801550,70453717
Tensor,tnsr,0.563776,50378085,70446937
Hermez Network,hez,4.13,52230,70431810
Ergo,erg,0.914405,750824,69512908
Jeo Boden,boden,0.100603,3000992,69511079
Snek,snek,0.0009417,1557992,69440074
Dione,dione,0.00737183,693133,69398261
Wrapped NXM,wnxm,72.92,714132,69044624
Stella,alpha,0.077696,3419950,68552233
Spacemesh,$smh,1.63,17539419,68229691
Gearbox,gear,0.0117759,596366,67855383
Radiant Capital,rdnt,0.117549,14203878,67717683
YES Money,yes,4.94,1102739,67528416
Mines of Dalarnia,dar,0.115166,9943521,67455550
Velodrome Finance,velo,0.094213,2009175,67113691
WazirX,wrx,0.146937,2050507,67035235
Tectum,tet,9.1,981993,66933026
Crown by Third Time Games,crown,0.380084,273443,66588657
Nakamoto Games,naka,1.024,25181921,66549787
Wen,$wen,9.118e-05,14712349,66367609
Aurora,aurora,0.139053,715859,66318688
Medibloc,med,0.00733302,712565,66264841
Verge,xvg,0.00401567,2533933,66229720
Loom Network (NEW),loom,0.053655,3373733,65740539
Euler,eul,3.5,225715,65413463
Acala,aca,0.063725,4178768,65346791
Autonolas,olas,1.57,1269002,65105522
LeverFi,lever,0.00198375,4773642,65070786
Access Protocol,acs,0.00182618,1302445,64793059
Uquid Coin,uqc,6.44,3559901,64414751
Humans.ai,heart,0.0115176,222019,64237493
SuperRare,rare,0.091929,1790493,64018533
cUSDC,cusdc,0.02400772,48.71,63795241
Bifrost,bfc,0.04569354,578591,63311153
MANEKI,maneki,0.00717695,12493653,63091601
Ardor,ardr,0.063019,7247861,63026932
Aavegotchi,ghst,1.23,2378979,62974478
Radio Caca,raca,0.00017081,5119690,62826066
StakeWise Staked ETH,oseth,3383.63,1155243,62576049
NodeAI,gpu,0.639816,453123,61982585
BENQI,qi,0.0131943,2549990,61718355
Mobox,mbox,0.221693,3875653,61609807
Shardus,ult,0.139521,43.31,61327530
Gelato,gel,0.249529,158043,60911064
Victoria VR,vr,0.00885989,1927217,60695347
Badger,badger,3.04,5557559,60615467
AllianceBlock Nexera,nxra,0.076677,506677,60593715
Spectral,spec,5.75,11820742,60490059
NKN,nkn,0.077639,2978447,60166436
Clash of Lilliput,col,0.733228,101364,60153571
Keep Network,keep,0.109326,26061,60093704
sETH2,seth2,3359.97,301.03,59991208
Overnight.fi USD+,usd+,0.999881,23686387,59504584
Entangle,ngl,0.422524,673074,59475229
Hunt,hunt,0.295981,4058778,59047467
KOGE,koge,17.43,1781.14,59025097
Origin Token,ogn,0.100625,9497042,59019005
Wrapped QUIL,quil,0.170153,929436,58880475
Dream Machine Token,dmt,97.08,3008632,58367690
Hifi Finance,hifi,0.44839,4823776,58199260
Polymath,poly,0.064631,10084.52,58065194
Vyvo Smart Chain,vsc,0.01929203,998862,57988580
QANplatform,qanx,0.03408029,695249,57967882
Ecoin,ecoin,0.00012493,2.62,57608948
ViciCoin,vcnt,22.02,498225,57566094
DexTools,dext,0.671666,128444,57439969
TOKPIE,tkp,0.723833,58423,57395507
Beercoin,beer,6.463e-05,49134022,57254356
Puff The Dragon,puff,0.132194,247369,56990400
ALEX Lab,alex,0.072689,138803,56781948
Gitcoin,gtc,0.930764,3284723,56713650
cDAI,cdai,0.02352086,193.4,56682132
XPLA,xpla,0.095506,238430,56393575
A Hunters Dream,caw,8.8427e-08,1391791,56290985
Grok,$grok,0.0088837,5763272,56152156
ArbDoge AI,aidoge,2.98843e-10,9980675,55933980
Mother Iggy,mother,0.056887,17951312,55778557
Doland Tremp,tremp,0.554438,12532759,55515160
Magic Internet Money (Ethereum),mim,0.997412,326287,55417808
Stafi,fis,0.384395,1612952,55287835
Matr1x Fire,fire,1.44,21785674,55187910
CANTO,canto,0.088936,1061257,55101933
Ankr Staked ETH,ankreth,3837.71,59272,55055967
Radworks,rad,1.1,2927788,54921562
Tokamak Network,ton,1.11,1832986,54730379
Poollotto.finance,plt,3.61,102287,54409730
CoW Protocol,cow,0.23477,86050,54128027
PUPS (Ordinals),pups,6.95,871624,54034930
Agoric,bld,0.081881,148604,53989399
OctaSpace,octa,1.72,339806,53950502
TriasLab,trias,5.37,1530806,53591591
Automata,ata,0.104414,1719279,53585546
Heroes of Mavia,mavia,1.7,11580757,53535385
Apeiron,aprs,0.519188,14841397,53344584
The Doge NFT,dog,0.00356808,1067397,53249557
LTO Network,lto,0.123672,3315692,52996862
Wojak,wojak,0.00076271,6314934,52879286
Polkastarter,pols,0.53166,2738252,52817877
RAMP [OLD],ramp,0.128332,15818.06,52681338
Ethernity Chain,ern,2.49,2869388,52487344
Friend.tech,friend,0.555633,507544,52339007
Storj,storj,0.363818,11306677,52300598
QuarkChain,qkc,0.00743741,2213349,52188601
Decubate,dcb,0.054445,2213251,51848328
Alien Worlds,tlm,0.01187838,5128386,51752897
Perpetual Protocol,perp,0.70807,5297125,51424293
MATH,math,0.287491,830585,50829201
GameBuild,game,0.0032114,8655677,50591731
Basenji,benji,0.05051,1190073,50509888
Whiteheart,white,5660.44,2426.93,50309987
